transaction_id,timestamp,branch,item,category,qty,unit_price,line_total,ticket_total,discount,tax,void,comp,refund,payment_method,staff
T20260117-00018,2026-01-17T13:02:00,MAIN,Breakfast Set,food,1,45.00,45.00,117.00,0.00,17.55,0,0,0,apple_pay,S002
T20260117-00018,2026-01-17T13:02:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,117.00,0.00,17.55,0,0,0,apple_pay,S002
T20260117-00019,2026-01-17T17:14:00,MAIN,Croissant,other,3,14.00,42.00,58.00,0.00,8.70,0,0,0,visa,S005
T20260117-00019,2026-01-17T17:14:00,MAIN,Iced Americano,other,1,16.00,16.00,58.00,0.00,8.70,0,0,0,visa,S005
T20260117-00020,2026-01-17T17:40:00,MAIN,Bottled Water,other,1,5.00,5.00,100.00,0.00,15.00,0,0,0,cash,S002
T20260117-00020,2026-01-17T17:40:00,MAIN,Bottled Water,other,1,5.00,5.00,100.00,0.00,15.00,0,0,0,cash,S002
T20260117-00020,2026-01-17T17:40:00,MAIN,Breakfast Set,food,2,45.00,90.00,100.00,0.00,15.00,0,0,0,cash,S002
T20260117-00021,2026-01-17T20:19:00,MAIN,Iced Americano,other,1,16.00,16.00,16.00,0.00,2.40,0,0,0,mada,S005
T20260117-00022,2026-01-17T19:03:00,MAIN,Breakfast Set,food,1,45.00,45.00,89.00,0.00,13.35,0,0,0,visa,S003
T20260117-00022,2026-01-17T19:03:00,MAIN,Flat White,other,1,22.00,22.00,89.00,0.00,13.35,0,0,0,visa,S003
T20260117-00022,2026-01-17T19:03:00,MAIN,Flat White,other,1,22.00,22.00,89.00,0.00,13.35,0,0,0,visa,S003
T20260117-00023,2026-01-17T10:53:00,MAIN,Iced Americano,other,1,16.00,16.00,88.00,0.00,13.20,0,0,0,cash,S003
T20260117-00023,2026-01-17T10:53:00,MAIN,Iced Americano,other,3,16.00,48.00,88.00,0.00,13.20,0,0,0,cash,S003
T20260117-00023,2026-01-17T10:53:00,MAIN,Mocha,beverage,1,24.00,24.00,88.00,0.00,13.20,0,0,0,cash,S003
T20260117-00024,2026-01-17T11:53:00,MAIN,Iced Americano,other,1,16.00,16.00,42.00,0.00,6.30,0,0,0,visa,S001
T20260117-00024,2026-01-17T11:53:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,42.00,0.00,6.30,0,0,0,visa,S001
T20260117-00025,2026-01-17T11:56:00,MAIN,Breakfast Set,food,2,45.00,90.00,138.00,0.00,20.70,0,0,0,mada,S001
T20260117-00025,2026-01-17T11:56:00,MAIN,Croissant,other,2,14.00,28.00,138.00,0.00,20.70,0,0,0,mada,S001
T20260117-00025,2026-01-17T11:56:00,MAIN,Cappuccino,other,1,20.00,20.00,138.00,0.00,20.70,0,0,0,mada,S001
T20260117-00026,2026-01-17T20:44:00,MAIN,Mocha,beverage,1,24.00,24.00,24.00,0.00,3.60,0,0,0,visa,S003
T20260117-00027,2026-01-17T10:19:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,55.00,0.00,8.25,0,0,0,cash,S004
T20260117-00027,2026-01-17T10:19:00,MAIN,Bottled Water,other,1,5.00,5.00,55.00,0.00,8.25,0,0,0,cash,S004
T20260117-00027,2026-01-17T10:19:00,MAIN,Mocha,beverage,1,24.00,24.00,55.00,0.00,8.25,0,0,0,cash,S004
T20260117-00028,2026-01-17T11:51:00,MAIN,Croissant,other,1,14.00,14.00,110.00,0.00,16.50,0,0,0,mada,S001
T20260117-00028,2026-01-17T11:51:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,110.00,0.00,16.50,0,0,0,mada,S001
T20260117-00028,2026-01-17T11:51:00,MAIN,Latte,beverage,1,18.00,18.00,110.00,0.00,16.50,0,0,0,mada,S001
T20260117-00028,2026-01-17T11:51:00,MAIN,Cappuccino,other,2,20.00,40.00,110.00,0.00,16.50,0,0,0,mada,S001
T20260117-00029,2026-01-17T16:37:00,MAIN,Chicken Sandwich,food,2,38.00,76.00,102.00,0.00,15.30,0,0,0,visa,S001
T20260117-00029,2026-01-17T16:37:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,102.00,0.00,15.30,0,0,0,visa,S001
T20260117-00030,2026-01-17T13:15:00,MAIN,Dessert of Day,other,3,28.00,84.00,84.00,0.00,12.60,0,0,0,visa,S003
T20260117-00031,2026-01-17T20:24:00,MAIN,Cappuccino,other,1,20.00,20.00,110.00,0.00,16.50,0,0,0,mastercard,S004
T20260117-00031,2026-01-17T20:24:00,MAIN,Breakfast Set,food,2,45.00,90.00,110.00,0.00,16.50,0,0,0,mastercard,S004
T20260117-00032,2026-01-17T18:27:00,MAIN,Iced Americano,other,1,16.00,16.00,26.00,0.00,3.90,0,0,0,mada,S001
T20260117-00032,2026-01-17T18:27:00,MAIN,Bottled Water,other,1,5.00,5.00,26.00,0.00,3.90,0,0,0,mada,S001
T20260117-00032,2026-01-17T18:27:00,MAIN,Bottled Water,other,1,5.00,5.00,26.00,0.00,3.90,0,0,0,mada,S001
T20260117-00033,2026-01-17T14:30:00,MAIN,Breakfast Set,food,1,45.00,45.00,59.00,0.00,8.85,0,0,0,mastercard,S002
T20260117-00033,2026-01-17T14:30:00,MAIN,Croissant,other,1,14.00,14.00,59.00,0.00,8.85,0,0,0,mastercard,S002
T20260117-00034,2026-01-17T12:58:00,MAIN,Bottled Water,other,1,5.00,5.00,29.00,0.00,4.35,0,0,0,cash,S005
T20260117-00034,2026-01-17T12:58:00,MAIN,Mocha,beverage,1,24.00,24.00,29.00,0.00,4.35,0,0,0,cash,S005
T20260117-00035,2026-01-17T13:57:00,MAIN,Cappuccino,other,1,20.00,20.00,20.00,0.00,3.00,0,0,0,mada,S004
T20260117-00036,2026-01-17T21:54:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,120.00,0.00,18.00,0,0,0,visa,S001
T20260117-00036,2026-01-17T21:54:00,MAIN,Croissant,other,1,14.00,14.00,120.00,0.00,18.00,0,0,0,visa,S001
T20260117-00036,2026-01-17T21:54:00,MAIN,Flat White,other,2,22.00,44.00,120.00,0.00,18.00,0,0,0,visa,S001
T20260117-00036,2026-01-17T21:54:00,MAIN,Mocha,beverage,1,24.00,24.00,120.00,0.00,18.00,0,0,0,visa,S001
T20260117-00037,2026-01-17T22:49:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,38.00,0.00,5.70,0,0,0,apple_pay,S005
T20260117-00038,2026-01-17T12:45:00,MAIN,Cappuccino,other,1,20.00,20.00,20.00,0.00,3.00,0,0,0,apple_pay,S002
T20260117-00039,2026-01-17T10:23:00,MAIN,Bottled Water,other,1,5.00,5.00,99.00,0.00,14.85,0,0,0,visa,S001
T20260117-00039,2026-01-17T10:23:00,MAIN,Dessert of Day,other,1,28.00,28.00,99.00,0.00,14.85,0,0,0,visa,S001
T20260117-00039,2026-01-17T10:23:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,99.00,0.00,14.85,0,0,0,visa,S001
T20260117-00039,2026-01-17T10:23:00,MAIN,Croissant,other,2,14.00,28.00,99.00,0.00,14.85,0,0,0,visa,S001
T20260117-00040,2026-01-17T19:42:00,MAIN,Latte,beverage,2,18.00,36.00,63.00,0.00,9.45,0,0,0,mada,S001
T20260117-00040,2026-01-17T19:42:00,MAIN,Bottled Water,other,1,5.00,5.00,63.00,0.00,9.45,0,0,0,mada,S001
T20260117-00040,2026-01-17T19:42:00,MAIN,Flat White,other,1,22.00,22.00,63.00,0.00,9.45,0,0,0,mada,S001
T20260118-00041,2026-01-18T11:20:00,MAIN,Croissant,other,1,14.00,14.00,14.00,0.00,2.10,0,0,0,cash,S002
T20260118-00042,2026-01-18T16:23:00,MAIN,Croissant,other,1,14.00,14.00,32.00,0.00,4.80,0,0,0,cash,S005
T20260118-00042,2026-01-18T16:23:00,MAIN,Latte,beverage,1,18.00,18.00,32.00,0.00,4.80,0,0,0,cash,S005
T20260118-00043,2026-01-18T17:28:00,MAIN,Breakfast Set,food,1,45.00,45.00,177.00,0.00,26.55,0,0,0,mada,S002
T20260118-00043,2026-01-18T17:28:00,MAIN,Croissant,other,3,14.00,42.00,177.00,0.00,26.55,0,0,0,mada,S002
T20260118-00043,2026-01-18T17:28:00,MAIN,Breakfast Set,food,2,45.00,90.00,177.00,0.00,26.55,0,0,0,mada,S002
T20260118-00044,2026-01-18T18:22:00,MAIN,Cappuccino,other,1,20.00,20.00,92.00,0.00,13.80,0,0,0,apple_pay,S002
T20260118-00044,2026-01-18T18:22:00,MAIN,Latte,beverage,2,18.00,36.00,92.00,0.00,13.80,0,0,0,apple_pay,S002
T20260118-00044,2026-01-18T18:22:00,MAIN,Iced Americano,other,1,16.00,16.00,92.00,0.00,13.80,0,0,0,apple_pay,S002
T20260118-00044,2026-01-18T18:22:00,MAIN,Cappuccino,other,1,20.00,20.00,92.00,0.00,13.80,0,0,0,apple_pay,S002
T20260118-00045,2026-01-18T12:23:00,MAIN,Iced Americano,other,1,16.00,16.00,46.00,0.00,6.90,0,0,0,mastercard,S001
T20260118-00045,2026-01-18T12:23:00,MAIN,Iced Americano,other,1,16.00,16.00,46.00,0.00,6.90,0,0,0,mastercard,S001
T20260118-00045,2026-01-18T12:23:00,MAIN,Croissant,other,1,14.00,14.00,46.00,0.00,6.90,0,0,0,mastercard,S001
T20260118-00046,2026-01-18T07:27:00,MAIN,Iced Americano,other,1,16.00,16.00,72.00,0.00,10.80,0,0,0,mada,S003
T20260118-00046,2026-01-18T07:27:00,MAIN,Cappuccino,other,1,20.00,20.00,72.00,0.00,10.80,0,0,0,mada,S003
T20260118-00046,2026-01-18T07:27:00,MAIN,Croissant,other,1,14.00,14.00,72.00,0.00,10.80,0,0,0,mada,S003
T20260118-00046,2026-01-18T07:27:00,MAIN,Flat White,other,1,22.00,22.00,72.00,0.00,10.80,0,0,0,mada,S003
T20260118-00047,2026-01-18T09:06:00,MAIN,Breakfast Set,food,1,45.00,45.00,45.00,0.00,6.75,0,0,0,cash,S002
T20260118-00048,2026-01-18T13:47:00,MAIN,Cappuccino,other,1,20.00,20.00,20.00,0.00,3.00,0,0,0,visa,S002
T20260118-00049,2026-01-18T09:59:00,MAIN,Flat White,other,1,22.00,22.00,44.00,0.00,6.60,0,0,0,mada,S003
T20260118-00049,2026-01-18T09:59:00,MAIN,Flat White,other,1,22.00,22.00,44.00,0.00,6.60,0,0,0,mada,S003
T20260118-00050,2026-01-18T09:11:00,MAIN,Croissant,other,1,14.00,14.00,216.00,0.00,32.40,0,0,0,cash,S004
T20260118-00050,2026-01-18T09:11:00,MAIN,Flat White,other,1,22.00,22.00,216.00,0.00,32.40,0,0,0,cash,S004
T20260118-00050,2026-01-18T09:11:00,MAIN,Breakfast Set,food,1,45.00,45.00,216.00,0.00,32.40,0,0,0,cash,S004
T20260118-00050,2026-01-18T09:11:00,MAIN,Breakfast Set,food,3,45.00,135.00,216.00,0.00,32.40,0,0,0,cash,S004
T20260118-00051,2026-01-18T11:49:00,MAIN,Mocha,beverage,1,24.00,24.00,72.00,0.00,10.80,0,0,0,apple_pay,S005
T20260118-00051,2026-01-18T11:49:00,MAIN,Mocha,beverage,2,24.00,48.00,72.00,0.00,10.80,0,0,0,apple_pay,S005
T20260118-00052,2026-01-18T17:44:00,MAIN,Flat White,other,1,22.00,22.00,22.00,0.00,3.30,0,0,0,mastercard,S002
T20260118-00053,2026-01-18T17:48:00,MAIN,Iced Americano,other,1,16.00,16.00,72.00,0.00,10.80,0,0,0,apple_pay,S001
T20260118-00053,2026-01-18T17:48:00,MAIN,Dessert of Day,other,2,28.00,56.00,72.00,0.00,10.80,0,0,0,apple_pay,S001
T20260118-00054,2026-01-18T22:03:00,MAIN,Cappuccino,other,2,20.00,40.00,40.00,0.00,6.00,0,0,0,visa,S002
T20260118-00055,2026-01-18T21:32:00,MAIN,Mocha,beverage,1,24.00,24.00,29.00,0.00,4.35,0,0,0,visa,S003
T20260118-00055,2026-01-18T21:32:00,MAIN,Bottled Water,other,1,5.00,5.00,29.00,0.00,4.35,0,0,0,visa,S003
T20260118-00056,2026-01-18T10:21:00,MAIN,Bottled Water,other,1,5.00,5.00,35.00,0.00,5.25,0,0,0,cash,S005
T20260118-00056,2026-01-18T10:21:00,MAIN,Croissant,other,1,14.00,14.00,35.00,0.00,5.25,0,0,0,cash,S005
T20260118-00056,2026-01-18T10:21:00,MAIN,Iced Americano,other,1,16.00,16.00,35.00,0.00,5.25,0,0,0,cash,S005
T20260118-00057,2026-01-18T08:46:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,54.00,0.00,8.10,1,0,0,cash,S003
T20260118-00057,2026-01-18T08:46:00,MAIN,Iced Americano,other,1,16.00,16.00,54.00,0.00,8.10,1,0,0,cash,S003
T20260118-00058,2026-01-18T21:48:00,MAIN,Cappuccino,other,1,20.00,20.00,62.00,0.00,9.30,0,0,0,cash,S002
T20260118-00058,2026-01-18T21:48:00,MAIN,Mocha,beverage,1,24.00,24.00,62.00,0.00,9.30,0,0,0,cash,S002
T20260118-00058,2026-01-18T21:48:00,MAIN,Latte,beverage,1,18.00,18.00,62.00,0.00,9.30,0,0,0,cash,S002
T20260118-00059,2026-01-18T18:48:00,MAIN,Bottled Water,other,1,5.00,5.00,50.00,0.00,7.50,0,0,0,visa,S003
T20260118-00059,2026-01-18T18:48:00,MAIN,Breakfast Set,food,1,45.00,45.00,50.00,0.00,7.50,0,0,0,visa,S003
T20260118-00060,2026-01-18T15:41:00,MAIN,Breakfast Set,food,1,45.00,45.00,72.00,0.00,10.80,0,0,0,visa,S004
T20260118-00060,2026-01-18T15:41:00,MAIN,Bottled Water,other,1,5.00,5.00,72.00,0.00,10.80,0,0,0,visa,S004
T20260118-00060,2026-01-18T15:41:00,MAIN,Flat White,other,1,22.00,22.00,72.00,0.00,10.80,0,0,0,visa,S004
T20260118-00061,2026-01-18T20:50:00,MAIN,Croissant,other,1,14.00,14.00,14.00,0.00,2.10,0,0,0,cash,S001
T20260118-00062,2026-01-18T20:21:00,MAIN,Flat White,other,1,22.00,22.00,72.00,0.00,10.80,0,0,0,visa,S005
T20260118-00062,2026-01-18T20:21:00,MAIN,Iced Americano,other,2,16.00,32.00,72.00,0.00,10.80,0,0,0,visa,S005
T20260118-00062,2026-01-18T20:21:00,MAIN,Latte,beverage,1,18.00,18.00,72.00,0.00,10.80,0,0,0,visa,S005
T20260118-00063,2026-01-18T19:38:00,MAIN,Bottled Water,other,2,5.00,10.00,24.00,0.00,3.60,0,0,0,apple_pay,S002
T20260118-00063,2026-01-18T19:38:00,MAIN,Croissant,other,1,14.00,14.00,24.00,0.00,3.60,0,0,0,apple_pay,S002
T20260118-00064,2026-01-18T12:49:00,MAIN,Cappuccino,other,1,20.00,20.00,36.00,0.00,5.40,0,0,0,cash,S003
T20260118-00064,2026-01-18T12:49:00,MAIN,Iced Americano,other,1,16.00,16.00,36.00,0.00,5.40,0,0,0,cash,S003
T20260118-00065,2026-01-18T12:43:00,MAIN,Iced Americano,other,1,16.00,16.00,30.00,0.00,4.50,0,0,0,apple_pay,S005
T20260118-00065,2026-01-18T12:43:00,MAIN,Croissant,other,1,14.00,14.00,30.00,0.00,4.50,0,0,0,apple_pay,S005
T20260118-00066,2026-01-18T15:26:00,MAIN,Dessert of Day,other,1,28.00,28.00,68.00,0.00,10.20,0,0,0,mada,S004
T20260118-00066,2026-01-18T15:26:00,MAIN,Cappuccino,other,2,20.00,40.00,68.00,0.00,10.20,0,0,0,mada,S004
T20260118-00067,2026-01-18T09:38:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,38.00,0.00,5.70,0,0,0,apple_pay,S002
T20260118-00068,2026-01-18T08:29:00,MAIN,Cappuccino,other,1,20.00,20.00,63.00,0.00,9.45,0,0,0,visa,S001
T20260118-00068,2026-01-18T08:29:00,MAIN,Bottled Water,other,1,5.00,5.00,63.00,0.00,9.45,0,0,0,visa,S001
T20260118-00068,2026-01-18T08:29:00,MAIN,Flat White,other,1,22.00,22.00,63.00,0.00,9.45,0,0,0,visa,S001
T20260118-00068,2026-01-18T08:29:00,MAIN,Iced Americano,other,1,16.00,16.00,63.00,0.00,9.45,0,0,0,visa,S001
T20260118-00069,2026-01-18T18:22:00,MAIN,Breakfast Set,food,1,45.00,45.00,117.00,0.00,17.55,0,0,0,apple_pay,S003
T20260118-00069,2026-01-18T18:22:00,MAIN,Mocha,beverage,3,24.00,72.00,117.00,0.00,17.55,0,0,0,apple_pay,S003
T20260118-00070,2026-01-18T11:29:00,MAIN,Breakfast Set,food,1,45.00,45.00,67.00,0.00,10.05,0,0,0,cash,S003
T20260118-00070,2026-01-18T11:29:00,MAIN,Flat White,other,1,22.00,22.00,67.00,0.00,10.05,0,0,0,cash,S003
T20260118-00071,2026-01-18T19:38:00,MAIN,Flat White,other,1,22.00,22.00,88.00,0.00,13.20,0,0,0,cash,S005
T20260118-00071,2026-01-18T19:38:00,MAIN,Latte,beverage,1,18.00,18.00,88.00,0.00,13.20,0,0,0,cash,S005
T20260118-00071,2026-01-18T19:38:00,MAIN,Mocha,beverage,1,24.00,24.00,88.00,0.00,13.20,0,0,0,cash,S005
T20260118-00071,2026-01-18T19:38:00,MAIN,Mocha,beverage,1,24.00,24.00,88.00,0.00,13.20,0,0,0,cash,S005
T20260118-00072,2026-01-18T18:58:00,MAIN,Bottled Water,other,1,5.00,5.00,21.00,0.00,3.15,0,0,0,cash,S003
T20260118-00072,2026-01-18T18:58:00,MAIN,Iced Americano,other,1,16.00,16.00,21.00,0.00,3.15,0,0,0,cash,S003
T20260118-00073,2026-01-18T11:39:00,MAIN,Chicken Sandwich,food,2,38.00,76.00,112.00,0.00,16.80,0,0,0,cash,S001
T20260118-00073,2026-01-18T11:39:00,MAIN,Latte,beverage,2,18.00,36.00,112.00,0.00,16.80,0,0,0,cash,S001
T20260118-00074,2026-01-18T09:51:00,MAIN,Latte,beverage,1,18.00,18.00,44.00,0.00,6.60,0,0,0,mastercard,S003
T20260118-00074,2026-01-18T09:51:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,44.00,0.00,6.60,0,0,0,mastercard,S003
T20260118-00075,2026-01-18T21:59:00,MAIN,Breakfast Set,food,1,45.00,45.00,45.00,0.00,6.75,0,0,0,cash,S004
T20260118-00076,2026-01-18T10:14:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,26.00,0.00,3.90,0,0,0,visa,S003
T20260118-00077,2026-01-18T20:12:00,MAIN,Breakfast Set,food,2,45.00,90.00,148.00,0.00,22.20,0,0,0,mastercard,S005
T20260118-00077,2026-01-18T20:12:00,MAIN,Cappuccino,other,1,20.00,20.00,148.00,0.00,22.20,0,0,0,mastercard,S005
T20260118-00077,2026-01-18T20:12:00,MAIN,Chicken Sandwich,food,1,38.00,38.00,148.00,0.00,22.20,0,0,0,mastercard,S005
T20260119-00078,2026-01-19T09:25:00,MAIN,Latte,beverage,1,18.00,18.00,18.00,0.00,2.70,0,0,0,mada,S002
T20260119-00079,2026-01-19T17:09:00,MAIN,Croissant,other,1,14.00,14.00,14.00,0.00,2.10,0,0,0,mada,S002
T20260119-00080,2026-01-19T09:36:00,MAIN,Croissant,other,1,14.00,14.00,40.00,0.00,6.00,0,0,0,apple_pay,S005
T20260119-00080,2026-01-19T09:36:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,40.00,0.00,6.00,0,0,0,apple_pay,S005
T20260119-00081,2026-01-19T14:02:00,MAIN,Bottled Water,other,1,5.00,5.00,5.00,0.00,0.75,0,0,0,mada,S001
T20260119-00082,2026-01-19T12:28:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,26.00,0.00,3.90,0,0,0,cash,S001
T20260119-00083,2026-01-19T09:14:00,MAIN,Cappuccino,other,1,20.00,20.00,90.00,0.00,13.50,0,0,0,apple_pay,S002
T20260119-00083,2026-01-19T09:14:00,MAIN,Flat White,other,1,22.00,22.00,90.00,0.00,13.50,0,0,0,apple_pay,S002
T20260119-00083,2026-01-19T09:14:00,MAIN,Mocha,beverage,2,24.00,48.00,90.00,0.00,13.50,0,0,0,apple_pay,S002
T20260119-00084,2026-01-19T21:22:00,MAIN,Latte,beverage,1,18.00,18.00,18.00,0.00,2.70,0,0,0,cash,S005
T20260119-00085,2026-01-19T14:23:00,MAIN,Latte,beverage,1,18.00,18.00,28.00,0.00,4.20,0,0,0,mada,S004
T20260119-00085,2026-01-19T14:23:00,MAIN,Bottled Water,other,2,5.00,10.00,28.00,0.00,4.20,0,0,0,mada,S004
T20260119-00086,2026-01-19T10:16:00,MAIN,Flat White,other,1,22.00,22.00,50.00,0.00,7.50,0,0,0,cash,S005
T20260119-00086,2026-01-19T10:16:00,MAIN,Dessert of Day,other,1,28.00,28.00,50.00,0.00,7.50,0,0,0,cash,S005
T20260119-00087,2026-01-19T14:23:00,MAIN,Mocha,beverage,1,24.00,24.00,29.00,0.00,4.35,0,0,0,cash,S004
T20260119-00087,2026-01-19T14:23:00,MAIN,Bottled Water,other,1,5.00,5.00,29.00,0.00,4.35,0,0,0,cash,S004
T20260119-00088,2026-01-19T19:09:00,MAIN,Croissant,other,2,14.00,28.00,70.00,0.00,10.50,0,0,0,cash,S005
T20260119-00088,2026-01-19T19:09:00,MAIN,Croissant,other,3,14.00,42.00,70.00,0.00,10.50,0,0,0,cash,S005
T20260119-00089,2026-01-19T09:38:00,MAIN,Latte,beverage,1,18.00,18.00,18.00,0.00,2.70,0,0,0,mastercard,S002
T20260119-00090,2026-01-19T18:00:00,MAIN,Flat White,other,1,22.00,22.00,112.00,0.00,16.80,1,0,0,visa,S001
T20260119-00090,2026-01-19T18:00:00,MAIN,Breakfast Set,food,2,45.00,90.00,112.00,0.00,16.80,1,0,0,visa,S001
T20260119-00091,2026-01-19T08:24:00,MAIN,Flat White,other,1,22.00,22.00,54.00,0.00,8.10,0,0,0,apple_pay,S003
T20260119-00091,2026-01-19T08:24:00,MAIN,Latte,beverage,1,18.00,18.00,54.00,0.00,8.10,0,0,0,apple_pay,S003
T20260119-00091,2026-01-19T08:24:00,MAIN,Croissant,other,1,14.00,14.00,54.00,0.00,8.10,0,0,0,apple_pay,S003
T20260119-00092,2026-01-19T19:58:00,MAIN,Cappuccino,other,1,20.00,20.00,56.00,0.00,8.40,0,0,0,mada,S003
T20260119-00092,2026-01-19T19:58:00,MAIN,Cappuccino,other,1,20.00,20.00,56.00,0.00,8.40,0,0,0,mada,S003
T20260119-00092,2026-01-19T19:58:00,MAIN,Iced Americano,other,1,16.00,16.00,56.00,0.00,8.40,0,0,0,mada,S003
T20260119-00093,2026-01-19T15:32:00,MAIN,Cappuccino,other,2,20.00,40.00,111.00,0.00,16.65,0,0,0,mastercard,S005
T20260119-00093,2026-01-19T15:32:00,MAIN,Breakfast Set,food,1,45.00,45.00,111.00,0.00,16.65,0,0,0,mastercard,S005
T20260119-00093,2026-01-19T15:32:00,MAIN,Matcha Latte,beverage,1,26.00,26.00,111.00,0.00,16.65,0,0,0,mastercard,S005
